MAF/TIGER Object Identifier,Zip Code Tabulation Area Code,Geographic Identifier,Base Name,Legal/Statistical Area Description Code,Name,ZIP Code Tabulation Area FIPS Class Code,MAF/TIGER Feature Class Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Decennial Housing Count,Decennial Population Count,Object ID,Shape Area,Shape Length
2.21704E+14,48307,48307,48307,Z5,ZCTA5 48307,B5,G6350,S,39422686,150338,42.659505,-83.1230022,42.659316,-83.122679,19563,44673,24864,73215405.02,37008.80448
2.21704E+14,48302,48302,48302,Z5,ZCTA5 48302,B5,G6350,S,28572755,3991299,42.5849299,-83.2960522,42.5818508,-83.3047033,6902,17196,24865,60104771.32,46577.39577
2.21704E+14,48706,48706,48706,Z5,ZCTA5 48706,B5,G6350,S,171726396,15028042,43.603144,-83.9528096,43.6038047,-83.9554112,18482,39381,24866,356270921.1,123028.1034
2.21704E+14,48324,48324,48324,Z5,ZCTA5 48324,B5,G6350,S,22219362,11839052,42.5970675,-83.391526,42.5946788,-83.3936565,6753,16872,24867,62887267.93,47189.63016
2.21704E+14,48033,48033,48033,Z5,ZCTA5 48033,B5,G6350,S,23639281,14814,42.4647899,-83.2881441,42.4593218,-83.2932048,9156,17207,24868,43492909.62,30525.0085
2.21704E+14,48108,48108,48108,Z5,ZCTA5 48108,B5,G6350,S,43450485,194320,42.222062,-83.7316843,42.2216949,-83.7322818,12158,26639,24869,79637162.61,61841.87252
2.21704E+14,48104,48104,48104,Z5,ZCTA5 48104,B5,G6350,S,20188962,582574,42.2634578,-83.7174796,42.2622351,-83.7168858,18563,41588,24870,37950501.29,48440.91147
2.21704E+14,48198,48198,48198,Z5,ZCTA5 48198,B5,G6350,S,86392940,2334458,42.2751897,-83.5882316,42.275075,-83.5863399,17733,40067,24871,162168858.1,68513.2403
2.21704E+14,48109,48109,48109,Z5,ZCTA5 48109,B5,G6350,S,3613310,81060,42.2841903,-83.7251609,42.2912445,-83.7081948,192,8008,24872,6754190.316,25406.72045
2.21704E+14,48421,48421,48421,Z5,ZCTA5 48421,B5,G6350,S,107375221,7984726,43.1532128,-83.3926374,43.1554963,-83.3931894,2897,6656,24873,216852684.8,98083.51644
2.21704E+14,48626,48626,48626,Z5,ZCTA5 48626,B5,G6350,S,169697858,898469,43.421749,-84.2268727,43.4213683,-84.2214377,2506,5962,24874,323509718.2,104424.5317
2.21704E+14,48650,48650,48650,Z5,ZCTA5 48650,B5,G6350,S,246523889,17143716,43.8522828,-84.0106093,43.8492874,-84.0132054,3153,6807,24875,507170431.5,118212.8384
2.21704E+14,49668,49668,49668,Z5,ZCTA5 49668,B5,G6350,S,278516761,8039828,44.4028048,-85.709662,44.4018398,-85.7132772,1960,3758,24876,561496383.3,165052.8821
2.21704E+14,48446,48446,48446,Z5,ZCTA5 48446,B5,G6350,S,315690765,12491823,43.0525615,-83.3375073,43.0537399,-83.3387035,12938,30788,24877,614905274.6,144534.9181
2.21704E+14,48615,48615,48615,Z5,ZCTA5 48615,B5,G6350,S,142768166,521378,43.4266601,-84.4732646,43.4222372,-84.4743535,1285,2917,24878,271771057.5,131100.7151
2.21704E+14,48180,48180,48180,Z5,ZCTA5 48180,B5,G6350,S,61165859,46613,42.2260445,-83.2688106,42.225283,-83.2676908,26770,63409,24879,111706385,43223.68974
2.21704E+14,48230,48230,48230,Z5,ZCTA5 48230,B5,G6350,S,8429309,3002499,42.3800683,-82.9204655,42.3823947,-82.9218416,7494,17559,24880,20963425.81,21157.21385
2.21704E+14,48003,48003,48003,Z5,ZCTA5 48003,B5,G6350,S,86059209,289029,42.9322592,-83.0408761,42.9302353,-83.0399915,2566,6506,24881,161160044.4,59874.10623
2.21704E+14,48205,48205,48205,Z5,ZCTA5 48205,B5,G6350,S,16451060,0,42.4331857,-82.9813111,42.4331857,-82.9813111,14221,34056,24882,30218378.63,27374.97859
2.21704E+14,48423,48423,48423,Z5,ZCTA5 48423,B5,G6350,S,166953620,3838821,43.039771,-83.5140464,43.0404197,-83.5142797,15237,33801,24883,319875783,108729.6492
